# # Angle (deg), theta pol E-plane, phi pol E-plane, theta pol H-plane, phi pol H-plane
 (-1.800000000000000000e+02+0.000000000000000000e+00j), (-3.429410736360522828e-03+1.463196606443486515e-02j), (-1.517459993547278989e-05-4.084156248303199833e-05j), (1.517459993547284410e-05+4.084156248303255399e-05j), (-3.429410736360524996e-03+1.463196606443486342e-02j)
 (-1.780000000000000000e+02+0.000000000000000000e+00j), (-3.426808175171122336e-03+1.464004268103666871e-02j), (-1.718799199888616206e-05-3.765240367991889016e-05j), (-5.279665867265388542e-06+5.735568344705126772e-05j), (-3.391110228573741663e-03+1.459472749764025371e-02j)
 (-1.760000000000000000e+02+0.000000000000000000e+00j), (-3.474250342969702459e-03+1.462007882834371816e-02j), (-1.902276101526776230e-05-3.400697488433748143e-05j), (-2.611241602573894060e-05+7.328817588027261977e-05j), (-3.287490575350245428e-03+1.446432910548199960e-02j)
 (-1.740000000000000000e+02+0.000000000000000000e+00j), (-3.571187129554481698e-03+1.457134149553858567e-02j), (-2.065492021462385000e-05-2.995085658257169820e-05j), (-4.711970243750368553e-05+8.844611296508838748e-05j), (-3.119694594637645226e-03+1.424241972863420601e-02j)
 (-1.720000000000000000e+02+0.000000000000000000e+00j), (-3.716462723394446145e-03+1.449295519094591020e-02j), (-2.205850709513396146e-05-2.553632557391398677e-05j), (-6.808751721871851125e-05+1.026463777205403443e-04j), (-2.889522555060420207e-03+1.393173803288450842e-02j)
 (-1.700000000000000000e+02+0.000000000000000000e+00j), (-3.908320508015482829e-03+1.438392127543898329e-02j), (-2.320569298501422325e-05-2.082113204596327773e-05j), (-8.879541022664181964e-05+1.157179589208195161e-04j), (-2.599413917040891212e-03+1.353607743398679147e-02j)
 (-1.680000000000000000e+02+0.000000000000000000e+00j), (-4.144413185206897998e-03+1.424314254870138151e-02j), (-2.406707385296411741e-05-1.586713381323687767e-05j), (-1.090204706562959561e-04+1.275042115505803755e-04j), (-2.252423392742455236e-03+1.306023860734174639e-02j)
 (-1.660000000000000000e+02+0.000000000000000000e+00j), (-4.421818367568757652e-03+1.406945276187957471e-02j), (-2.461215654949726366e-05-1.073882817303519509e-05j), (-1.285415803702999698e-04+1.378650149342513544e-04j), (-1.852191544846037204e-03+1.250997019556806221e-02j)
 (-1.640000000000000000e+02+0.000000000000000000e+00j), (-4.737059870631200008e-03+1.386165059415209351e-02j), (-2.481004615589490331e-05-5.501826602788601367e-06j), (-1.471438271307628858e-04+1.466787509386789634e-04j), (-1.402910186983097676e-03+1.189189844595443801e-02j)
 (-1.620000000000000000e+02+0.000000000000000000e+00j), (-5.086134903578349263e-03+1.361853749545926910e-02j), (-2.463033042213164494e-05-2.213209753707635419e-07j), (-1.646229484123435977e-04+1.538440190287923624e-04j), (-9.092828900875103964e-04+1.121344661830657279e-02j)
 (-1.600000000000000000e+02+0.000000000000000000e+00j), (-5.464547305740983033e-03+1.333895866787697566e-02j), (-2.404414672037013897e-05+5.039408152808792280e-06j), (-1.807896624157658417e-04+1.592810054808898256e-04j), (-3.764809382164533672e-04+1.048274510118753743e-02j)
 (-1.580000000000000000e+02+0.000000000000000000e+00j), (-5.867346902616231603e-03+1.302184633916182895e-02j), (-2.302540593869891903e-05+1.022039054233408018e-05j), (-1.954737337087674787e-04+1.629324313604808003e-04j), (1.899048862664733941e-04+9.708533260546391847e-03j)
 (-1.560000000000000000e+02+0.000000000000000000e+00j), (-6.289174960399104668e-03+1.266626437950484074e-02j), (-2.155213677249083088e-05+1.526622379002060212e-05j), (-2.085276179310886671e-04+1.647640180922128916e-04j), (7.839162756401663523e-04+8.900054119016913637e-03j)
 (-1.540000000000000000e+02+0.000000000000000000e+00j), (-6.724315603230323138e-03+1.227145323222347990e-02j), (-1.960790348021517924e-05+2.012714450964303391e-05j), (-2.198295343152214610e-04+1.647644301613878433e-04j), (1.399282687218115053e-03+8.066943026694610094e-03j)
 (-1.520000000000000000e+02+0.000000000000000000e+00j), (-7.166752925208254819e-03+1.183687407647615944e-02j), (-1.718324093312660370e-05+2.475987427220833426e-05j), (-2.292858271540168004e-04+1.629446806827336656e-04j), (2.029479487302266946e-03+7.219111535109881163e-03j)
 (-1.500000000000000000e+02+0.000000000000000000e+00j), (-7.610233383654981150e-03+1.136225111990205386e-02j), (-1.427704329444003995e-05+2.912820930953898300e-05j), (-2.368324981001607523e-04+1.593370156560477025e-04j), (2.667788466977412832e-03+6.366627725703726849e-03j)
 (-1.480000000000000000e+02+0.000000000000000000e+00j), (-8.048332906424475464e-03+1.084761093515024602e-02j), (-1.089783748119088310e-05+3.320333263829715635e-05j), (-2.424358200878867786e-04+1.539933246067248828e-04j), (3.307360235654819951e-03+5.519594272825341374e-03j)
 (-1.460000000000000000e+02+0.000000000000000000e+00j), (-8.474527990641359670e-03+1.029331780884202956e-02j), (-7.064870207581870906e-06+3.696383836290820745e-05j), (-2.460919799271013087e-04+1.469831564926411100e-04j), (3.941277991216417080e-03+4.688025539632044957e-03j)
 (-1.440000000000000000e+02+0.000000000000000000e+00j), (-8.882269920517457326e-03+9.700104165108735035e-03j), (-2.808938305669219394e-06+4.039547006036246231e-05j), (-2.478257388456533527e-04+1.383914475745466220e-04j), (4.562622163417674043e-03+3.881725013870798106e-03j)
 (-1.420000000000000000e+02+0.000000000000000000e+00j), (-9.265061095769152807e-03+9.069095256853036344e-03j), (1.827103532980647892e-06+4.349058784319300580e-05j), (-2.476881465013286237e-04+1.283160897250139407e-04j), (5.164535429149607823e-03+3.110164389928437960e-03j)
 (-1.400000000000000000e+02+0.000000000000000000e+00j), (-9.616532347709431244e-03+8.401827482474215694e-03j), (6.788215313621099228e-06+4.624739137331837632e-05j), (-2.457533918335920789e-04+1.168654810022867340e-04j), (5.740287603262069806e-03+2.382365594263446615e-03j)
 (-1.380000000000000000e+02+0.000000000000000000e+00j), (-9.930520034988760125e-03+7.700259877939299481e-03j), (1.200747053236579548e-05+4.866893813484820234e-05j), (-2.421149207964250628e-04+1.041562033773331462e-04j), (6.283339915757890290e-03+1.706787033735135753e-03j)
 (-1.360000000000000000e+02+0.000000000000000000e+00j), (-1.020114166187938154e-02+6.966778545729654902e-03j), (1.740681198228311355e-05+5.076200702281194439e-05j), (-2.368809935518484551e-04+9.031096415135750116e-05j), (6.787408194016931844e-03+1.091215320593219920e-03j)
 (-1.340000000000000000e+02+0.000000000000000000e+00j), (-1.042286875406059007e-02+6.204194003634916701e-03j), (2.289827726463936536e-05+5.253586612471342445e-05j), (-2.301698891457453779e-04+7.545691765697776709e-05j), (7.246524476053304263e-03+5.426636938795814831e-04j)
 (-1.320000000000000000e+02+0.000000000000000000e+00j), (-1.059059576313181941e-02+5.415731656798035247e-03j), (2.838568638725479326e-05+5.400100986481022890e-05j), (-2.221049913082820024e-04+5.972445313837897835e-05j), (7.655096586520132064e-03+6.727831432868694157e-05j)
 (-1.300000000000000000e+02+0.000000000000000000e+00j), (-1.069970385214055741e-02+4.605015804586738877e-03j), (3.376676217050390307e-05+5.516793393092314564e-05j), (-2.128100025273391681e-04+4.324649512743847154e-05j), (8.007965210367975345e-03-3.297464421745601609e-04j)
 (-1.280000000000000000e+02+0.000000000000000000e+00j), (-1.074611853815504031e-02+3.776047778837200285e-03j), (3.893563221553525286e-05+5.604601621819783072e-05j), (-2.024045332956006277e-04+2.615831699043405688e-05j), (8.300457999213261412e-03-6.442426299075904462e-04j)
 (-1.260000000000000000e+02+0.000000000000000000e+00j), (-1.072636032948560275e-02+2.933178961946134554e-03j), (4.378564007623327606e-05+5.664256817118333039e-05j), (-1.910002986124394164e-04+8.597820156925202158e-06j), (8.528440242512591585e-03-8.731323286984448611e-04j)
 (-1.240000000000000000e+02+0.000000000000000000e+00j), (-1.063758768713443832e-02+2.081079544196810446e-03j), (4.821237423604621025e-05+5.696211335290059404e-05j), (-1.786981245478120618e-04-9.293815141819251576e-06j), (8.688361630012448808e-03-1.014479287620535450e-03j)
 (-1.220000000000000000e+02+0.000000000000000000e+00j), (-1.047763185282999006e-02+1.224703944043310918e-03j), (5.211680771424360021e-05+5.700593899927205565e-05j), (-1.655859250697436745e-04-2.737124289946901110e-05j), (8.777298624664900753e-03-1.067527816460603742e-03j)
 (-1.200000000000000000e+02+0.000000000000000000e+00j), (-1.024502330837923775e-02+3.692538302617310534e-04j), (5.540842972082763574e-05+5.677195215269792937e-05j), (-1.517377554905608317e-04-4.548399509476723187e-05j), (8.792991957806303022e-03-1.032728241158704452e-03j)
 (-1.180000000000000000e+02+0.000000000000000000e+00j), (-9.939009850990297712e-03-4.798603485372181601e-04j), (5.800824466116746245e-05+5.625485535499532251e-05j), (-1.372139867796017042e-04-6.347564224021639656e-05j), (8.733878752919347135e-03-9.117483724799618989e-04j)
 (-1.160000000000000000e+02+0.000000000000000000e+00j), (-9.559566474584113571e-03-1.317058499829470639e-03j), (5.985151363198108385e-05+5.544663867780585693e-05j), (-1.220625782967014441e-04-8.118326101587941383e-05j), (8.599118783161089144e-03-7.074705868518596161e-04j)
