# # Angle (deg), theta pol E-plane, phi pol E-plane, theta pol H-plane, phi pol H-plane
 (-1.800000000000000000e+02+0.000000000000000000e+00j), (-3.936657261075249617e-03+1.168517249790545533e-02j), (-1.462475180828849263e-04-5.466165555967131161e-06j), (1.462475180828844926e-04+5.466165555968873507e-06j), (-3.936657261075249617e-03+1.168517249790545186e-02j)
 (-1.780000000000000000e+02+0.000000000000000000e+00j), (-4.026504646734178558e-03+1.164034646520839891e-02j), (-1.429505269960846072e-04-7.743759013498296517e-06j), (1.659956495980522144e-04-2.951206887792003487e-05j), (-3.939064353118599399e-03+1.163623649530670656e-02j)
 (-1.760000000000000000e+02+0.000000000000000000e+00j), (-4.161014199258136238e-03+1.157741593862962777e-02j), (-1.387862181938937889e-04-1.004204254169230269e-05j), (1.867068912892880586e-04-6.334508213544206765e-05j), (-3.871646266332191832e-03+1.151395015963411171e-02j)
 (-1.740000000000000000e+02+0.000000000000000000e+00j), (-4.338552523604223207e-03+1.149660654421578478e-02j), (-1.338124927052919291e-04-1.236764037187435313e-05j), (2.083052456953654933e-04-9.569814806969165753e-05j), (-3.735078199290508758e-03+1.131939522976193983e-02j)
 (-1.720000000000000000e+02+0.000000000000000000e+00j), (-4.557024182255679096e-03+1.139795367604816596e-02j), (-1.280995296087691470e-04-1.472724283918865485e-05j), (2.306903327047715583e-04-1.262527995610401898e-04j), (-3.530772440611304984e-03+1.105453784588668158e-02j)
 (-1.700000000000000000e+02+0.000000000000000000e+00j), (-4.813890406726796696e-03+1.128130854717334861e-02j), (-1.217283279531929200e-04-1.712678651423680422e-05j), (2.537371280807697044e-04-1.547110491921544222e-04j), (-3.260860597856378093e-03+1.072220803502281147e-02j)
 (-1.680000000000000000e+02+0.000000000000000000e+00j), (-5.106190061750805025e-03+1.114634779724361403e-02j), (-1.147891301113499455e-04-1.957069667388813838e-05j), (2.772962169554269406e-04-1.807993523918104627e-04j), (-2.928168478040947195e-03+1.032606860476294360e-02j)
 (-1.660000000000000000e+02+0.000000000000000000e+00j), (-5.430562865577808970e-03+1.099258650141323422e-02j), (-1.073797727989683217e-04-2.206121802337375292e-05j), (3.011945692727716799e-04-2.042722418036688832e-04j), (-2.536184025690498695e-03+9.870573877220879810e-03j)
 (-1.640000000000000000e+02+0.000000000000000000e+00j), (-5.783274850482291937e-03+1.081939443186889088e-02j), (-9.960400870120459630e-05-2.459785561182444472e-05j), (3.252368315844869412e-04-2.249155719443569847e-04j), (-2.089018796839169946e-03+9.360918821115123134e-03j)
 (-1.620000000000000000e+02+0.000000000000000000e+00j), (-6.160246027652640892e-03+1.062601542989498674e-02j), (-9.156983709220833858e-05-2.717694380996977204e-05j), (3.492071186671209760e-04-2.425493241965330613e-04j), (-1.591363513498779024e-03+8.802979252010042013e-03j)
 (-1.600000000000000000e+02+0.000000000000000000e+00j), (-6.557080203802107855e-03+1.041158975004947626e-02j), (-8.338787633593543799e-05-2.979135714400700866e-05j), (3.728712794767803564e-04-2.570299332367052348e-04j), (-1.048438301807577471e-03+8.203243866614471844e-03j)
