# # x, y, z, Ex, Ey, Ez
 (0.000000000000000000e+00+0.000000000000000000e+00j), (5.655098187878786209e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.511569509961898428e-01-3.407902126834784218e-01j), (-2.253948249521121883e-02+3.640596818549879377e-02j), (-4.355419138086172315e-02+1.812978882673094150e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (5.978246655757572803e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.506009383129750856e-01-3.257772685217413255e-01j), (-2.253948249521119801e-02+3.640596818549866887e-02j), (-4.363003250226576979e-02+1.806289170603539440e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (6.301395123636362866e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.500449256297602729e-01-3.107643243600039518e-01j), (-2.253948249521118760e-02+3.640596818549858560e-02j), (-4.370587362366964990e-02+1.799599458533998608e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (6.624543591515149460e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.494889129465455435e-01-2.957513801982668000e-01j), (-2.253948249521115985e-02+3.640596818549850233e-02j), (-4.378171474507364103e-02+1.792909746464450838e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (6.947692059393939523e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.508033483517473350e-01-2.726146438490858470e-01j), (9.856757764126523186e-03-2.132609088396718658e-02j), (-2.497597035533354395e-02-1.393417171295290025e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (7.270840527272726117e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.447987403119349370e-01-2.499940494857533502e-01j), (9.856757764126550941e-03-2.132609088396705127e-02j), (-2.284827882281501021e-02-1.123396806257888347e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (7.593988995151512711e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.128921256102088988e-01-1.971537267127237980e-01j), (2.015472629804049114e-03-3.040557847364288094e-02j), (-1.614804975787214117e-03+1.322448661830565031e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (7.917137463030302774e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.117074893718647044e-01-1.792207117870454336e-01j), (2.015472629804067762e-03-3.040557847364283237e-02j), (-3.532815656699314633e-04+1.349075309344539841e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (8.240285930909089368e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.105228531335205933e-01-1.612876968613673190e-01j), (2.015472629804084242e-03-3.040557847364280461e-02j), (9.082418444473563945e-04+1.375701956858515346e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (8.563434398787875962e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.651925058282737502e-01-6.573610515660710529e-02j), (-2.939463972396166164e-02+1.349196230610231681e-02j), (7.013468582490250611e-03+6.955058347440620618e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (8.886582866666666025e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.687999409116718086e-01-5.162369763012459450e-02j), (-2.939463972396173450e-02+1.349196230610241916e-02j), (5.033999111664858722e-03+4.626077336545632648e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (9.209731334545452619e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.724073759950698115e-01-3.751129010364218086e-02j), (-2.939463972396176572e-02+1.349196230610254406e-02j), (3.054529640839461629e-03+2.297096325650655954e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (9.532879802424239213e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.760148110784677589e-01-2.339888257715979150e-02j), (-2.939463972396182470e-02+1.349196230610267590e-02j), (1.075060170014054128e-03-3.188468524431857173e-05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (9.856028270303029276e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.796222461618658173e-01-9.286475050677235610e-03j), (-2.939463972396186633e-02+1.349196230610278172e-02j), (-9.044093008113568422e-04-2.360865696139313914e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.017917673818181587e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.767363978018857473e-01+2.040076714807430303e-03j), (2.183672557565799303e-03-6.852260282710548323e-03j), (-9.647806755038457194e-04-3.374513969768910132e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.050232520606060246e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.736225658460585408e-01+1.332739666492634839e-02j), (2.183672557565791497e-03-6.852260282710573476e-03j), (-1.900371184653013024e-03-3.627742699912857045e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.082547367393939253e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.705087338902313898e-01+2.461471661504538444e-02j), (2.183672557565815783e-03-6.852260282710598630e-03j), (-2.835961693802173389e-03-3.880971430056803523e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.114862214181817912e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.673949019344042943e-01+3.590203656516431641e-02j), (2.183672557565786293e-03-6.852260282710620314e-03j), (-3.771552202951312938e-03-4.134200160200749569e-03j)
