# # Angle (deg), theta pol E-plane, phi pol E-plane, theta pol H-plane, phi pol H-plane
 (-1.600000000000000000e+02+0.000000000000000000e+00j), (-4.988295532968744020e-03+8.961434577631060064e-03j), (2.319465901606483150e-04+1.933776213305240881e-04j), (2.276679012754382605e-04-1.690994087461731405e-04j), (7.875481183528311999e-05+6.662162923005993803e-03j)
 (-1.580000000000000000e+02+0.000000000000000000e+00j), (-5.457772420128072580e-03+8.858634808393568011e-03j), (2.699341799368919865e-04+2.078867041236831146e-04j), (2.299776145927284591e-04-1.911805028610481262e-04j), (5.252303869502850846e-04+6.181735011782338828e-03j)
 (-1.560000000000000000e+02+0.000000000000000000e+00j), (-5.947973999115006502e-03+8.735990405716240886e-03j), (3.075298215425642458e-04+2.201455205423663325e-04j), (2.304243978422250265e-04-2.129829939392014122e-04j), (9.916866913917783341e-04+5.681457034855065882e-03j)
 (-1.540000000000000000e+02+0.000000000000000000e+00j), (-6.453028463885445223e-03+8.591691429538129282e-03j), (3.444570469282770726e-04+2.299619385293292476e-04j), (2.288943170657763788e-04-2.344261718157962450e-04j), (1.473557457919128953e-03+5.167859145288476903e-03j)
 (-1.520000000000000000e+02+0.000000000000000000e+00j), (-6.966806758307557239e-03+8.423957447274581234e-03j), (3.804229866824268406e-04+2.371620561419362236e-04j), (2.252855110374875098e-04-2.554639251217298091e-04j), (1.966118108677092271e-03+4.647719530316968099e-03j)
 (-1.500000000000000000e+02+0.000000000000000000e+00j), (-7.482976832431346634e-03+8.231067111951810567e-03j), (4.151229441951446238e-04+2.415942398177180705e-04j), (2.195149496293434760e-04-2.760821054122201078e-04j), (2.464511134943730194e-03+4.127974140424504022e-03j)
 (-1.480000000000000000e+02+0.000000000000000000e+00j), (-7.995059245141952417e-03+8.011388582197145891e-03j), (4.482458830027564187e-04+2.431329029305622847e-04j), (2.115249128472666243e-04-2.962940632992112563e-04j), (2.963772844800844665e-03+3.615621502630566361e-03j)
 (-1.460000000000000000e+02+0.000000000000000000e+00j), (-8.496483657738808717e-03+7.763410838280533632e-03j), (4.794806992807341853e-04+2.416819187632683922e-04j), (2.012888444337614287e-04-3.161345401658475769e-04j), (3.458862055058539806e-03+3.117623869992802114e-03j)
 (-1.440000000000000000e+02+0.000000000000000000e+00j), (-8.980645827328796391e-03+7.485775878318381635e-03j), (5.085231040196912808e-04+2.371775789255612537e-04j), (1.888162591142388436e-04-3.356521939914489127e-04j), (3.944691253558743615e-03+2.640806119050076537e-03j)
 (-1.420000000000000000e+02+0.000000000000000000e+00j), (-9.440964781100206690e-03+7.177311685200075085e-03j), (5.350828975294705421e-04+2.295910280668145157e-04j), (1.741564234863583846e-04-3.549011212517719379e-04j), (4.416160662448192359e-03+2.191753947233777370e-03j)
 (-1.400000000000000000e+02+0.000000000000000000e+00j), (-9.870939926856062835e-03+6.837065744475739545e-03j), (5.588913853757243328e-04+2.189301269089513038e-04j), (1.574005856773043473e-04-3.739318035665609836e-04j), (4.868195495532324883e-03+1.776713034637930838e-03j)
 (-1.380000000000000000e+02+0.000000000000000000e+00j), (-1.026420792526949732e-02+6.464338774600611980e-03j), (5.797086620733176788e-04+2.052407164942189426e-04j), (1.386825958968320122e-04-3.927819534370632199e-04j), (5.295786529768030035e-03+1.401490910706982510e-03j)
 (-1.360000000000000000e+02+0.000000000000000000e+00j), (-1.061459920854965211e-02+6.058718212778314328e-03j), (5.973304786897945919e-04+1.886072754802304294e-04j), (1.181778358372471293e-04-4.114677549142273716e-04j), (5.694033911445556435e-03+1.071363299012159306e-03j)
 (-1.340000000000000000e+02+0.000000000000000000e+00j), (-1.091619407209914842e-02+5.620110891601757912e-03j), (6.115944141108324572e-04+1.691529778976161508e-04j), (9.610045584816323083e-05-4.299759905824675362e-04j), (6.058193903005787244e-03+7.909866965091800085e-04j)
 (-1.320000000000000000e+02+0.000000000000000000e+00j), (-1.116337828452980060e-02+5.148774252611343361e-03j), (6.223850874670590252e-04+1.470391699465894476e-04j), (7.269900084792953133e-05-4.482575155050477485e-04j), (6.383728059621954047e-03+5.643188737686135204e-04j)
 (-1.300000000000000000e+02+0.000000000000000000e+00j), (-1.135089815254836966e-02+4.645345380310032975e-03j), (6.296381806821767582e-04+1.224642905722522930e-04j), (4.825058473285177911e-05-4.662224828888045410e-04j), (6.666354119147773448e-03+3.945488584732286387e-04j)
 (-1.280000000000000000e+02+0.000000000000000000e+00j), (-1.147391493798946040e-02+4.110867109645445321e-03j), (6.333430840277283220e-04+9.566226173291379124e-05j), (2.305384438602714752e-05-4.837376477140541923e-04j), (6.902097707920684146e-03+2.840377876876281271e-04j)
 (-1.260000000000000000e+02+0.000000000000000000e+00j), (-1.152805845416810665e-02+3.546810464582832775e-03j), (6.335440319602066075e-04+6.690037109068373497e-05j), (-2.579035609995257887e-06-5.006259772144959399e-04j), (7.087343819941938419e-03+2.342717896865147273e-04j)
 (-1.240000000000000000e+02+0.000000000000000000e+00j), (-1.150947956984978496e-02+2.955092725522901181e-03j), (6.303396587183855530e-04+3.647666352541636817e-05j), (-2.833089106347897211e-05-5.166686857004271780e-04j), (7.218886927541262426e-03+2.458277909958993712e-04j)
 (-1.220000000000000000e+02+0.000000000000000000e+00j), (-1.141490122633755100e-02+2.338090496583789413e-03j), (6.238809700040594394e-04+4.716850096225751987e-06j), (-5.388837424771408016e-05-5.316096914052147095e-04j), (7.293978534111435208e-03+3.183528487628652657e-04j)
 (-1.200000000000000000e+02+0.000000000000000000e+00j), (-1.124166743393990343e-02+1.698647245300538306e-03j), (6.143677950514662804e-04-2.802926414495495494e-05j), (-7.895060333925635755e-05-5.451623709115037365e-04j), (7.310370986618935918e-03+4.505572945792813539e-04j)
 (-1.180000000000000000e+02+0.000000000000000000e+00j), (-1.098778956823027314e-02+1.040074910172543009e-03j), (6.020438488584477481e-04-6.139183666448642625e-05j), (-1.032372997102838408e-04-5.570183685837756414e-04j), (7.266356426371078057e-03+6.402216566215099399e-04j)
 (-1.160000000000000000e+02+0.000000000000000000e+00j), (-1.065198914556587592e-02+3.661493073838463161e-04j), (5.871905937285335896e-04-9.498553148922363014e-05j), (-1.264960748859705560e-04-5.668581104743680970e-04j), (7.160799866313291746e-03+8.842170160094734452e-04j)
 (-1.140000000000000000e+02+0.000000000000000000e+00j), (-1.023373613374075307e-02-3.189007920562943036e-04j), (5.701201392728303795e-04-1.284145479815224978e-04j), (-1.485085727919310957e-04-5.743625801158895984e-04j), (6.993165534167968510e-03+1.178538163748549901e-03j)
 (-1.120000000000000000e+02+0.000000000000000000e+00j), (-9.733281759751544540e-03-1.010410908424623716e-03j), (5.511674578615652614e-04-1.612781186724280007e-04j), (-1.690952306230687036e-04-5.792258424559990028e-04j), (6.763535802776831328e-03+1.518348668307516842e-03j)
 (-1.100000000000000000e+02+0.000000000000000000e+00j), (-9.151684723617940082e-03-1.703304294079451648e-03j), (5.306822161092316237e-04-1.931764407022053417e-04j), (-1.881184899655400679e-04-5.811677559075575233e-04j), (6.472622230324786945e-03+1.898036750574971397e-03j)
 (-1.080000000000000000e+02+0.000000000000000000e+00j), (-8.490829723945086255e-03-2.392121337448787754e-03j), (5.090205310798392871e-04-2.237169795906398574e-04j), (-2.054843649214415345e-04-5.799462938073421912e-04j), (6.121768441449106958e-03+2.311280699778499662e-03j)
 (-1.060000000000000000e+02+0.000000000000000000e+00j), (-7.753437253163264833e-03-3.071054619563239833e-03j), (4.865369522084453174e-04-2.525210538861914788e-04j), (-2.211423519005024626e-04-5.753689068012175951e-04j), (5.712944783794884213e-03+2.751122455083263550e-03j)
 (-1.040000000000000000e+02+0.000000000000000000e+00j), (-6.943063729917110447e-03-3.733989259189692336e-03j), (4.635769471307881265e-04-2.792305771490917509e-04j), (-2.350837424178390915e-04-5.673023965636828222e-04j), (5.248734882993640570e-03+3.210047923980569734e-03j)
 (-1.020000000000000000e+02+0.000000000000000000e+00j), (-6.064091200388689769e-03-4.374548154797842751e-03j), (4.404701333169919837e-04-3.035148026379407655e-04j), (-2.473384718337437839e-04-5.556808369998171310e-04j), (4.732314384034506070e-03+3.680072608087133542e-03j)
 (-1.000000000000000000e+02+0.000000000000000000e+00j), (-5.121706052580349972e-03-4.986141726426737697e-03j), (4.175244500771568682e-04-3.250768891348713497e-04j), (-2.579707000371277647e-04-5.405111683303281131e-04j), (4.167422302864660054e-03+4.152831154610603891e-03j)
 (-9.800000000000000000e+01+0.000000000000000000e+00j), (-4.121866437014919983e-03-5.562021773030620744e-03j), (3.950214102693465562e-04-3.436600865906281406e-04j), (-2.670733716948572346e-04-5.218761975145238359e-04j), (3.558325515871003236e-03+4.619669540114763537e-03j)
 (-9.600000000000000000e+01+0.000000000000000000e+00j), (-3.071258360133307611e-03-6.095339084342567618e-03j), (3.732125114488323860e-04-3.590533302906556853e-04j), (-2.747620416130473818e-04-4.999348594813010725e-04j), (2.909776986454705016e-03+5.071738713143827959e-03j)
 (-9.400000000000000000e+01+0.000000000000000000e+00j), (-1.977240697167639925e-03-6.579204472778870695e-03j), (3.523168259800342397e-04-3.710960339039822819e-04j), (-2.811682734788729997e-04-4.749197209785031609e-04j), (2.226968369431962195e-03+5.500088663415927427e-03j)
 (-9.200000000000000000e+01+0.000000000000000000e+00j), (-8.477796432532731319e-04-7.006752911996763471e-03j), (3.325197324111752524e-04-3.796818860057066128e-04j), (-2.864329270698270859e-04-4.471318354885103243e-04j), (1.515477649665178308e-03+5.895762036919682293e-03j)
 (-9.000000000000000000e+01+0.000000000000000000e+00j), (3.086266301977688567e-04-7.371210476230423587e-03j), (3.139726994446023160e-04-3.847614813308596212e-04j), (-2.906996400472499037e-04-4.169331766276466729e-04j), (7.812124667077263804e-04+6.249886567863084316e-03j)
 (-8.800000000000000000e+01+0.000000000000000000e+00j), (1.483032135079582732e-03-7.665963761313610708e-03j), (2.967939917920249743e-04-3.863436559211918565e-04j), (-2.941087866097399201e-04-3.847369823121002570e-04j), (3.034975864844827891e-05+6.553765740445643626e-03j)
 (-8.600000000000000000e+01+0.000000000000000000e+00j), (2.666134897268488801e-03-7.884631428993199923e-03j), (2.810701360002310057e-04-3.844954422999791914e-04j), (-2.967921582346025452e-04-3.509964272679092162e-04j), (-7.307276677708661895e-04+6.798967217690740812e-03j)
 (-8.400000000000000000e+01+0.000000000000000000e+00j), (3.848375197873616163e-03-8.021137447828976391e-03j), (2.668579650391971641e-04-3.793406139113772836e-04j), (-2.988685638016292290e-04-3.161921030704252663e-04j), (-1.495497061253569853e-03+6.977408674748382215e-03j)
 (-8.200000000000000000e+01+0.000000000000000000e+00j), (5.020038899294790649e-03-8.069785506721679699e-03j), (2.541870532691219804e-04-3.710568438499071389e-04j), (-3.004404904208914139e-04-2.808188203261586797e-04j), (-2.257363588510297864e-03+7.081440745899609049e-03j)
 (-8.000000000000000000e+01+0.000000000000000000e+00j), (6.171364510871293549e-03-8.025333954211771176e-03j), (2.430623577476694855e-04-3.598715577504718361e-04j), (-3.015919054890746505e-04-2.453722561321209869e-04j), (-3.009729595370811295e-03+7.103926835891036934e-03j)
 (-7.800000000000000000e+01+0.000000000000000000e+00j), (7.292652666742493843e-03-7.883070474725729915e-03j), (2.334668964192779901e-04-3.460566111142936315e-04j), (-3.023872182739288151e-04-2.103359526025864643e-04j), (-3.746064731619335765e-03+7.038319557282502609e-03j)
 (-7.600000000000000000e+01+0.000000000000000000e+00j), (8.374376732348799007e-03-7.638885561441939587e-03j), (2.253643167360825988e-04-3.299219642442456483e-04j), (-3.028713590546757155e-04-1.761691316880548022e-04j), (-4.459976397594881542e-03+6.878733538278216861e-03j)
 (-7.400000000000000000e+01+0.000000000000000000e+00j), (9.407293313080504829e-03-7.289343696300285870e-03j), (2.187012375494359515e-04-3.118085609633102612e-04j), (-3.030708786961628255e-04-1.432957316931046405e-04j), (-5.145279951089661886e-03+6.620014303849470344e-03j)
 (-7.200000000000000000e+01+0.000000000000000000e+00j), (1.038255149636961583e-02-6.831751014230822740e-03j), (2.134092803876021227e-04-2.920806388446171896e-04j), (-3.029959242810020717e-04-1.120949967229205763e-04j), (-5.796068082231568483e-03+6.257802872063888792e-03j)
 (-7.000000000000000000e+01+0.000000000000000000e+00j), (1.129179970610672511e-02-6.264218124607577945e-03j), (2.094067412285246924e-04-2.711177081708305431e-04j), (-3.026429092966389004e-04-8.289386711845242027e-05j), (-6.406778723925926275e-03+5.788595633652107893e-03j)
 (-6.800000000000000000e+01+0.000000000000000000e+00j), (1.212728907762311743e-02-5.585716701017891424e-03j), (2.065998884816423080e-04-2.493064345662475445e-04j), (-3.019976714484839736e-04-5.596133214827411680e-05j), (-6.972260818977164820e-03+5.209799002839876104e-03j)
 (-6.600000000000000000e+01+0.000000000000000000e+00j), (1.288197226841862435e-02-4.796128441306023171e-03j), (2.048839052719065603e-04-2.270326473425285710e-04j), (-3.010388983041022192e-04-3.150482075746114264e-05j), (-7.487837215784860258e-03+4.519778248434286501e-03j)
 (-6.400000000000000000e+01+0.000000000000000000e+00j), (1.354959660437370268e-02-3.896285050859254508e-03j), (2.041435227642052425e-04-2.046736738839297748e-04j), (-2.997416007961508548e-04-9.668626203805858179e-06j), (-7.949363916538033925e-03+3.717899843016972405e-03j)
 (-6.200000000000000000e+01+0.000000000000000000e+00j), (1.412479042762720439e-02-2.887998016484996221e-03j), (2.042534150234332608e-04-1.825911721616030759e-04j), (-2.980804265559717971e-04+9.465710894685357846e-06j), (-8.353284859418677599e-03+2.804566611290091986e-03j)
 (-6.000000000000000000e+01+0.000000000000000000e+00j), (1.460314146855667093e-02-1.774077114557124843e-03j), (2.050784439677666611e-04-1.611246012473378981e-04j), (-2.960326279233498731e-04+2.587719716595703623e-05j), (-8.696681383864427600e-03+1.781244921783449887e-03j)
 (-5.800000000000000000e+01+0.000000000000000000e+00j), (1.498126602107285182e-02-5.583368292203889569e-04j), (2.064738548575538175e-04-1.405854360489170905e-04j), (-2.935805315615508978e-04+3.960154371371215807e-05j), (-8.977315509737959776e-03+6.504831538454189203e-04j)
 (-5.600000000000000000e+01+0.000000000000000000e+00j), (1.525686766999987017e-02+7.544098662341421893e-04j), (2.082855282752524024e-04-1.212521997647298202e-04j), (-2.907133957699801086e-04+5.072590814572302328e-05j), (-9.193666161370945764e-03-5.840793125343941329e-04j)
 (-5.400000000000000000e+01+0.000000000000000000e+00j), (1.542878431416858272e-02+2.158370603379789442e-03j), (2.103503937507277325e-04-1.033663577272874210e-04j), (-2.874285854102397067e-04+5.938246979302630061e-05j), (-9.344957489492693864e-03-1.917713290986372728e-03j)
 (-5.200000000000000000e+01+0.000000000000000000e+00j), (1.549702226042386222e-02+3.646805504001655440e-03j), (2.124971033503328171e-04-8.712909083282754572e-05j), (-2.837320402612018974e-04+6.574110291889719297e-05j), (-9.431178491036135494e-03-3.344611797981490286e-03j)
 (-5.000000000000000000e+01+0.000000000000000000e+00j), (1.546277624125142955e-02+5.212071453749283351e-03j), (2.145470511536940914e-04-7.269894650382547187e-05j), (-2.796380579685328279e-04+7.000142068056408324e-05j), (-9.453093200918518887e-03-4.857913402148511701e-03j)
 (-4.800000000000000000e+01+0.000000000000000000e+00j), (1.532843433819303276e-02+6.845678063293581320e-03j), (2.163158072434705193e-04-6.019035035831368877e-05j), (-2.751684550038150127e-04+7.238446344953915201e-05j), (-9.412240832371743249e-03-6.449737305499688572e-03j)
 (-4.600000000000000000e+01+0.000000000000000000e+00j), (1.509756697700052192e-02+8.538354355484278901e-03j), (2.176150134496330861e-04-4.967295214067487169e-05j), (-2.703512058421649283e-04+7.312429991329596655e-05j), (-9.310925373357689661e-03-8.111230390748899038e-03j)
 (-4.400000000000000000e+01+0.000000000000000000e+00j), (1.477489939697526622e-02+1.028012500617628798e-02j), (2.182547635870086742e-04-4.117177418457957868e-05j), (-2.652186898594963041e-04+7.245979893923295949e-05j), (-9.152194304953547438e-03-9.832626291209749583e-03j)
 (-4.200000000000000000e+01+0.000000000000000000e+00j), (1.436626728077974001e-02+1.206039481424790727e-02j), (2.180464643951532519e-04-3.466812853863686134e-05j), (-2.598056956193772553e-04+7.062681490279568532e-05j), (-8.939806290935117805e-03-1.160331634695221589e-02j)
 (-4.000000000000000000e+01+0.000000000000000000e+00j), (1.387855555346219003e-02+1.386803998701855584e-02j), (2.168061460201189808e-04-3.010126847007005331e-05j), (-2.541473421726331413e-04+6.785100919725863466e-05j), (-8.678187892440280063e-03-1.341193210836338912e-02j)
 (-3.800000000000000000e+01+0.000000000000000000e+00j), (1.331962070911587269e-02+1.569150480010509871e-02j), (2.143581639085998241e-04-2.737073989031003779e-05j), (-2.482770762577288996e-04+6.434150591089359450e-05j), (-8.372379582632913375e-03-1.524643884157413434e-02j)
 (-3.600000000000000000e+01+0.000000000000000000e+00j), (1.269819738726625166e-02+1.751890222046059362e-02j), (2.105392086592825993e-04-2.633939692708623065e-05j), (-2.422248930757800261e-04+6.028555011138513834e-05j), (-8.027971567703974173e-03-1.709423928483383426e-02j)
 (-3.400000000000000000e+01+0.000000000000000000e+00j), (1.202379028458706346e-02+1.933811715867825992e-02j), (2.052025178808704082e-04-2.683704225314562756e-05j), (-2.360159075337664350e-04+5.584430288375973555e-05j), (-7.651030155375465602e-03-1.894228670602228840e-02j)
 (-3.200000000000000000e+01+0.000000000000000000e+00j), (1.130655283668015321e-02+2.113691112941515696e-02j), (1.982221655127565634e-04-2.866464607893024592e-05j), (-2.296693740907968862e-04+5.114986856575272838e-05j), (-7.248015642758854835e-03-2.077720612375048501e-02j)
 (-3.000000000000000000e+01+0.000000000000000000e+00j), (1.055715442598203352e-02+2.290302723305689611e-02j), (1.894972902715435961e-04-3.159908757607099515e-05j), (-2.231982187784847490e-04+4.630360722537433968e-05j), (-6.825692913990369891e-03-2.258542238205844474e-02j)
 (-2.800000000000000000e+01+0.000000000000000000e+00j), (9.786638153424020298e-03+2.462429451311244979e-02j), (1.789561165729640628e-04-3.539834905845976466e-05j), (-2.166091092076132343e-04+4.137574046018915847e-05j), (-6.391036136577982543e-03-2.435329361503686327e-02j)
 (-2.600000000000000000e+01+0.000000000000000000e+00j), (9.006271443310698635e-03+2.628873087884988843e-02j), (1.665596188680495146e-04-3.980707712580918448e-05j), (-2.099030502649690255e-04+3.640621260042198467e-05j), (-5.951129116229024983e-03-2.606724850574921107e-02j)
 (-2.400000000000000000e+01+0.000000000000000000e+00j), (8.227391925444698870e-03+2.788464389995370940e-02j), (1.523046839751783044e-04-4.456240723198660799e-05j), (-2.030764575877086421e-04+3.140672422914427009e-05j), (-5.513063006151553563e-03-2.771392563595668004e-02j)
 (-2.200000000000000000e+01+0.000000000000000000e+00j), (7.461251150844607112e-03+2.940072887113190023e-02j), (1.362266355639290747e-04-4.939993018915154056e-05j), (-1.961226303617974996e-04+2.636381265260578319e-05j), (-5.083833162564693753e-03-2.928031314139362476e-02j)
 (-2.000000000000000000e+01+0.000000000000000000e+00j), (6.718858745218040350e-03+3.082616360484752294e-02j), (1.184010000738388641e-04-5.405966260578812086e-05j), (-1.890335216121983577e-04+2.124281665606856265e-05j), (-4.670236988853876739e-03-3.075388683333853471e-02j)
 (-1.800000000000000000e+01+0.000000000000000000e+00j), (6.010829587980497275e-03+3.215069943876297520e-02j), (9.894441342731287166e-05-5.829186992448098998e-05j), (-1.818016893268279755e-04+1.599253251132867469e-05j), (-4.278774613524650300e-03-3.212274492244533708e-02j)
 (-1.600000000000000000e+01+0.000000000000000000e+00j), (5.347236526824948252e-03+3.336474794377027042e-02j), (7.801459213265378402e-05-6.186258225066926719e-05j), (-1.744223060506700006e-04+1.055034637971200935e-05j), (-3.915554200683856595e-03-3.337573748648135080e-02j)
 (-1.400000000000000000e+01+0.000000000000000000e+00j), (4.737471003552980002e-03+3.445946279453267203e-02j), (5.580931984531747490e-05-6.455864101151666755e-05j), (-1.668951077024159084e-04+4.847616115306083067e-06j), (-3.586203596934906934e-03-3.450258886084280746e-02j)
 (-1.200000000000000000e+01+0.000000000000000000e+00j), (4.190113782788792637e-03+3.542681622546864362e-02j), (3.256443014765115622e-05-6.619211975698791517e-05j), (-1.592261731936777931e-04-1.184926440514859938e-06j), (-3.295789877986466439e-03-3.549401120027701612e-02j)
 (-1.000000000000000000e+01+0.000000000000000000e+00j), (3.712817749408404457e-03+3.625966945069444836e-02j), (8.550797160544740665e-06-6.660397574429364402e-05j), (-1.514294431966601337e-04-7.611973379391197319e-06j), (-3.048748176443299637e-03-3.634180756256274319e-02j)
 (-8.000000000000000000e+00+0.000000000000000000e+00j), (3.312204482049384367e-03+3.695183638646728358e-02j), (-1.592962345007103479e-05-6.566681040343824900e-05j), (-1.435279068967475419e-04-1.448884200211509800e-05j), (-2.848820955374586471e-03-3.703896299985713625e-02j)
 (-6.000000000000000000e+00+0.000000000000000000e+00j), (2.993776028401391558e-03+3.749813998836578482e-02j), (-4.054863050106259279e-05-6.328664584246895884e-05j), (-1.355544074017887607e-04-2.185725699493019675e-05j), (-2.699008647960377764e-03-3.757972231013752273e-02j)
 (-4.000000000000000000e+00+0.000000000000000000e+00j), (2.761843012561094896e-03+3.789446051042005825e-02j), (-6.495738970427951571e-05-5.940366010403581111e-05j), (-1.275520374042870934e-04-2.974185920677224697e-05j), (-2.601532320501372987e-03-3.795965329785543074e-02j)
 (-2.000000000000000000e+00+0.000000000000000000e+00j), (2.619469904540681210e-03+3.813777501506934037e-02j), (-8.879269658040103979e-05-5.399186428729674557e-05j), (-1.195741148437975482e-04-3.814755071172615296e-05j), (-2.557808743716400920e-03-3.817569461668448433e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.568437985126188327e-03+3.822618751402785675e-02j), (-1.116837424401922731e-04-4.705774782833087007e-05j), (-1.116837424401920833e-04-4.705774782832853904e-05j), (-2.568437985126189194e-03-3.822618751402784981e-02j)
 (2.000000000000000000e+00+0.000000000000000000e+00j), (-2.609226252561526026e-03-3.815894920100701415e-02j), (1.332592188664277950e-04+3.863796182377325823e-05j), (1.039529645492620862e-04+5.643357585027538209e-05j), (2.633203372749455626e-03+3.811089106145974792e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j), (-2.741010246401794689e-03-3.793646834545540136e-02j), (1.531545840435271006e-04+2.879615179882539841e-05j), (9.646154008807263666e-05+6.621400325974708648e-05j), (2.751083435900491571e-03+3.783098073114320170e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j), (-2.961678512186083183e-03-3.756030954759595475e-02j), (1.710193077408897748e-04+1.761908832828806533e-05j), (8.929535224730043819e-05+7.631688059937566490e-05j), (2.920275209994181720e-03+3.738903045817906778e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j), (-3.267866200612440635e-03-3.703318220308744052e-02j), (1.865239111080317560e-04+5.212274217455255662e-06j), (8.254447584744056712e-05+8.664082096186578701e-05j), (3.138228104840487705e-03+3.678897860486585875e-02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j), (-3.655005087501840642e-03-3.635891818368060247e-02j), (1.993666228573278364e-04-8.304771266737660920e-06j), (7.630092330258724279e-05+9.706783572185844031e-05j), (3.401687384067406377e-03+3.603607850683669678e-02j)
 (1.200000000000000000e+01+0.000000000000000000e+00j), (-4.117389115651023425e-03-3.554243890111071641e-02j), (2.092794848622549328e-04-2.280333863673761390e-05j), (7.065609205123032205e-05+1.074666207329125304e-04j), (3.706746189255016952e-03+3.513683452500688392e-02j)
 (1.400000000000000000e+01+0.000000000000000000e+00j), (-4.648254395429310924e-03-3.458971207817443383e-02j), (2.160337574256753716e-04-3.815025089679614936e-05j), (6.569794156385304015e-05+1.176963744229243933e-04j), (4.048904966352769377e-03+3.409892474395963269e-02j)
 (1.600000000000000000e+01+0.000000000000000000e+00j), (-5.239872455858568361e-03-3.350769869730794298e-02j), (2.194444969663357677e-04-5.421227768385825677e-05j), (6.150793770096482833e-05+1.276110194677700018e-04j), (4.423137112417700745e-03+3.293111164064736751e-02j)
 (1.800000000000000000e+01+0.000000000000000000e+00j), (-5.883655409931682137e-03-3.230429072787872891e-02j), (2.193742058679678457e-04-7.086005461252504220e-05j), (5.815781663836694772e-05+1.370636933085213100e-04j), (4.823959654471170894e-03+3.164314219246847082e-02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j), (-6.570271585221543025e-03-3.098824034504134989e-02j), (2.157354847211602304e-04-8.797134908646078971e-05j), (5.570623937001243682e-05+1.459113690189289185e-04j), (5.245507794855027231e-03+3.024563899811403417e-02j)
 (2.200000000000000000e+01+0.000000000000000000e+00j), (-7.289770071978219496e-03-2.956908144303359298e-02j), (2.084926499262625837e-04-1.054335483361439925e-04j), (5.419542971720050167e-05+1.540194663740746981e-04j), (5.681612203507944818e-03+2.874998404722628811e-02j)
 (2.400000000000000000e+01+0.000000000000000000e+00j), (-8.031712555069512802e-03-2.805704431331956447e-02j), (1.976623132019235765e-04-1.231452849671180866e-04j), (5.364791188934236007e-05+1.612663130835562564e-04j), (6.125878001228227121e-03+2.716819679714885249e-02j)
