# # Angle (deg), theta pol E-plane, phi pol E-plane, theta pol H-plane, phi pol H-plane
 (-1.800000000000000000e+02+0.000000000000000000e+00j), (-2.445400507900455985e-03+9.261333843393721246e-03j), (-1.246669698178713302e-04-2.817532954440829938e-05j), (1.246669698178708694e-04+2.817532954440908204e-05j), (-2.445400507900456419e-03+9.261333843393722981e-03j)
 (-1.780000000000000000e+02+0.000000000000000000e+00j), (-2.474733197429932006e-03+9.270781400010818379e-03j), (-9.301872937277963071e-05-2.936966016507563709e-06j), (1.404444481318858060e-04+1.375316251892555171e-05j), (-2.397194745190852662e-03+9.233620020241681270e-03j)
 (-1.760000000000000000e+02+0.000000000000000000e+00j), (-2.559440931807759924e-03+9.274068304727805384e-03j), (-6.022819204120192404e-05+2.214028125988483635e-05j), (1.551125947747823512e-04-2.474495089342707475e-06j), (-2.297594239423676656e-03+9.149080149601921536e-03j)
 (-1.740000000000000000e+02+0.000000000000000000e+00j), (-2.698537527617067208e-03+9.270568665703672606e-03j), (-2.635828807319836659e-05+4.687701096876983631e-05j), (1.686509191003820714e-04-2.028615931093527837e-05j), (-2.148175286331360529e-03+9.008440128041863074e-03j)
 (-1.720000000000000000e+02+0.000000000000000000e+00j), (-2.890424757354056150e-03+9.259430385795660093e-03j), (8.513180937346582019e-06+7.108252048729015739e-05j), (1.810311155747399727e-04-3.944346919379797847e-05j), (-1.950936004899112052e-03+8.813149233621362863e-03j)
 (-1.700000000000000000e+02+0.000000000000000000e+00j), (-3.132905776047970308e-03+9.239595305678043394e-03j), (4.429092927219906465e-05+9.455559043446697565e-05j), (1.922128820948642018e-04-5.969872039293680840e-05j), (-1.708268326705246823e-03+8.565372197294217338e-03j)
 (-1.680000000000000000e+02+0.000000000000000000e+00j), (-3.423204276316354350e-03+9.209821467619687743e-03j), (8.085979223031222859e-05+1.170858605343943473e-04j), (2.021411055759124074e-04-8.080272318584309538e-05j), (-1.422929657832045641e-03+8.267972384197030261e-03j)
 (-1.660000000000000000e+02+0.000000000000000000e+00j), (-3.757989206010869596e-03+9.168706993426528964e-03j), (1.180826715921722133e-04+1.384557993780101848e-04j), (2.107445508238757828e-04-1.025126739872074316e-04j), (-1.098014719498772648e-03+7.924485940507559195e-03j)
 (-1.640000000000000000e+02+0.000000000000000000e+00j), (-4.133404787637454635e-03+9.114715156740888294e-03j), (1.557989537752767358e-04+1.584432435174022344e-04j), (2.179361089429381754e-04-1.245997024326514642e-04j), (-7.369279454198333088e-04+7.539086847644254664e-03j)
 (-1.620000000000000000e+02+0.000000000000000000e+00j), (-4.545105490874914306e-03+9.046200328518298403e-03j), (1.938235359809751829e-04+1.768244548920049910e-04j), (2.236145816771384397e-04-1.468557455224312131e-04j), (-3.433566699860934705e-04+7.116542923648403428e-03j)
