# # Angle (deg), theta pol E-plane, phi pol E-plane, theta pol H-plane, phi pol H-plane
 (-1.800000000000000000e+02+0.000000000000000000e+00j), (8.270396393987617875e-03-1.959701929719150516e-03j), (6.539832471003636898e-03-5.429742376568835564e-03j), (-6.539832471003636030e-03+5.429742376568837299e-03j), (8.270396393987619610e-03-1.959701929719148781e-03j)
 (-1.780000000000000000e+02+0.000000000000000000e+00j), (8.268642905211136609e-03-1.871773833143318844e-03j), (6.479849931946086473e-03-5.196772835763851031e-03j), (-6.409438410793184132e-03+5.429122793977567488e-03j), (8.313238308527469769e-03-1.451598554931674738e-03j)
 (-1.760000000000000000e+02+0.000000000000000000e+00j), (8.172966604081659953e-03-1.782878969054732619e-03j), (6.392649263151986561e-03-4.928062467827621675e-03j), (-6.266182627095434089e-03+5.418783173167174977e-03j), (8.346528661415032746e-03-9.433180551010001075e-04j)
 (-1.740000000000000000e+02+0.000000000000000000e+00j), (7.982835186815884568e-03-1.694474358710284850e-03j), (6.277499370811743910e-03-4.625575441257813100e-03j), (-6.113150783617425643e-03+5.397775788288389047e-03j), (8.367897615921040741e-03-4.361342677267172831e-04j)
 (-1.720000000000000000e+02+0.000000000000000000e+00j), (7.698946270480916225e-03-1.608187198208628401e-03j), (6.133890951213102558e-03-4.291574214323415175e-03j), (-5.953438199382344968e-03+5.365196597161970941e-03j), (8.374984138183737270e-03+6.865911599391094958e-05j)
 (-1.700000000000000000e+02+0.000000000000000000e+00j), (7.323241292673523736e-03-1.525803280375532091e-03j), (5.961567885317774033e-03-3.928613470214913951e-03j), (-5.790072876113010539e-03+5.320190875301654757e-03j), (8.365438857301536399e-03+5.697329242532827263e-04j)
 (-1.680000000000000000e+02+0.000000000000000000e+00j), (6.858898670761567375e-03-1.449247174257289232e-03j), (5.760557093852079237e-03-3.539530003758787919e-03j), (-5.625940810087541599e-03+5.261959406226714674e-03j), (8.336931931103866433e-03+1.065709685010620463e-03j)
 (-1.660000000000000000e+02+0.000000000000000000e+00j), (6.310306281721030953e-03-1.380554778336578981e-03j), (5.531195761835727351e-03-3.127427987421411894e-03j), (-5.463715429784226502e-03+5.189765590980896862e-03j), (8.287166815264455227e-03+1.555153330764548003e-03j)
 (-1.640000000000000000e+02+0.000000000000000000e+00j), (5.683013823726847796e-03-1.321839195060076164e-03j), (5.274154781694838715e-03-2.695659149023550867e-03j), (-5.305792896099527194e-03+5.102943849319071211e-03j), (8.213900507588968794e-03+2.036561182926273621e-03j)
 (-1.620000000000000000e+02+0.000000000000000000e+00j), (4.983666099631836079e-03-1.275251103799194315e-03j), (4.990457246053042750e-03-2.247797538664208020e-03j), (-5.154234862475163929e-03+5.000909668262125754e-03j), (8.114970491434413125e-03+2.508358035764836000e-03j)
