# # Angle (deg), theta pol E-plane, phi pol E-plane, theta pol H-plane, phi pol H-plane
 (-1.800000000000000000e+02+0.000000000000000000e+00j), (-2.265498734710817263e-03+6.474151278322499200e-04j), (5.392095229315072670e-05+8.093122606167494194e-05j), (-5.392095229315109939e-05-8.093122606167465734e-05j), (-2.265498734710818130e-03+6.474151278322497031e-04j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.244397332657475388e-02+3.455470090294616818e-03j), (1.866586429984109184e-04-5.320393712377778026e-05j), (1.866586429984103221e-04-5.320393712377768540e-05j), (1.244397332657475388e-02-3.455470090294616818e-03j)
 (1.800000000000000000e+02+0.000000000000000000e+00j), (2.265498734710816829e-03-6.474151278322497031e-04j), (-5.392095229315056407e-05-8.093122606167495550e-05j), (5.392095229315092321e-05+8.093122606167483352e-05j), (2.265498734710818564e-03-6.474151278322497031e-04j)
