# # x, y, z, Ex, Ey, Ez
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-3.393058912727273113e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.755519204930813038e-01-6.862275700055934236e-01j), (3.015565656311653547e-02-2.500989635545210546e-02j), (5.682902117157025840e-02+8.243518506950445190e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-3.069910444848484785e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.749865950946079884e-01-7.088457474905108802e-01j), (3.015565656311656323e-02-2.500989635545211240e-02j), (5.659310872191046504e-02+8.324061533359980447e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.746761976969698191e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.744212696961347286e-01-7.314639249754281147e-01j), (3.015565656311654588e-02-2.500989635545215403e-02j), (5.635719627225068556e-02+8.404604559769511540e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.423613509090909862e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.738559442976615244e-01-7.540821024603453493e-01j), (3.015565656311655976e-02-2.500989635545213322e-02j), (5.612128382259095466e-02+8.485147586179053736e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.100465041212121534e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.732906188991881535e-01-7.767002799452625839e-01j), (3.015565656311654241e-02-2.500989635545214709e-02j), (5.588537137293116824e-02+8.565690612588586217e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.777316573333333205e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.727252935007149492e-01-7.993184574301797074e-01j), (3.015565656311657017e-02-2.500989635545213668e-02j), (5.564945892327144428e-02+8.646233638998121473e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.454168105454546611e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.721599681022416894e-01-8.219366349150972750e-01j), (3.015565656311656323e-02-2.500989635545213322e-02j), (5.541354647361165786e-02+8.726776665407653955e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.131019637575758283e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.715946427037683741e-01-8.445548124000142876e-01j), (3.015565656311655629e-02-2.500989635545222689e-02j), (5.517763402395187838e-02+8.807319691817186436e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-8.078711696969699541e-04+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.710293173052951698e-01-8.671729898849316331e-01j), (3.015565656311657017e-02-2.500989635545219567e-02j), (5.494172157429215442e-02+8.887862718226725856e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.847227018181833602e-04+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.704639919068218545e-01-8.897911673698488677e-01j), (3.015565656311658058e-02-2.500989635545218873e-02j), (5.470580912463240963e-02+8.968405744636272214e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.615742339393932969e-04+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.698986665083487058e-01-9.124093448547663243e-01j), (3.015565656311656670e-02-2.500989635545222689e-02j), (5.446989667497267179e-02+9.048948771045804695e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.615742339393932969e-04+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.468879415063451321e-01-9.121613847946090647e-01j), (1.817241766672454337e-02+7.607632304497058406e-02j), (-2.768405227452654799e-02+4.616164163302333145e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.847227018181798908e-04+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.481178340516722314e-01-8.903648755761043310e-01j), (1.817241766672455378e-02+7.607632304497037590e-02j), (-2.743258090625310883e-02+4.522450288314033146e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (8.078711696969699541e-04+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.493477265969994694e-01-8.685683663575995972e-01j), (1.817241766672456765e-02+7.607632304497018161e-02j), (-2.718110953797965232e-02+4.428736413325737309e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.131019637575756548e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.505776191423265686e-01-8.467718571390949744e-01j), (1.817241766672457459e-02+7.607632304496994569e-02j), (-2.692963816970619928e-02+4.335022538337437309e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.454168105454543142e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.518075116876536401e-01-8.249753479205903517e-01j), (1.817241766672458847e-02+7.607632304496975140e-02j), (-2.667816680143279134e-02+4.241308663349139391e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.777316573333333205e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.530374042329809336e-01-8.031788387020853959e-01j), (1.817241766672459541e-02+7.607632304496950160e-02j), (-2.642669543315930708e-02+4.147594788360840778e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.100465041212119799e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.542672967783081717e-01-7.813823294835809952e-01j), (1.817241766672460582e-02+7.607632304496927955e-02j), (-2.617522406488587139e-02+4.053880913372544248e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.423613509090906393e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.554971893236352432e-01-7.595858202650763724e-01j), (1.817241766672460929e-02+7.607632304496907139e-02j), (-2.592375269661243570e-02+3.960167038384247024e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.746761976969696456e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.567270818689624812e-01-7.377893110465713056e-01j), (1.817241766672461969e-02+7.607632304496884934e-02j), (-2.567228132833896878e-02+3.866453163395947024e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.069910444848483050e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.579569744142895527e-01-7.159928018280667938e-01j), (1.817241766672462316e-02+7.607632304496861342e-02j), (-2.542080996006553309e-02+3.772739288407651187e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.393058912727273113e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.591868669596167352e-01-6.941962926095619490e-01j), (1.817241766672464051e-02+7.607632304496841913e-02j), (-2.516933859179208005e-02+3.679025413419350493e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.716207380606059707e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.604167595049439177e-01-6.723997833910573263e-01j), (1.817241766672464745e-02+7.607632304496822484e-02j), (-2.491786722351865130e-02+3.585311538431052575e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.039355848484846301e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.616466520502710447e-01-6.506032741725529256e-01j), (1.817241766672465439e-02+7.607632304496798892e-02j), (-2.466639585524519479e-02+3.491597663442756738e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.362504316363636364e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.628765445955982827e-01-6.288067649540479698e-01j), (1.817241766672466480e-02+7.607632304496775300e-02j), (-2.441492448697175216e-02+3.397883788454456044e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.685652784242422958e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.641064371409254097e-01-6.070102557355433470e-01j), (1.817241766672467174e-02+7.607632304496754483e-02j), (-2.416345311869830953e-02+3.304169913466160208e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (5.008801252121209552e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.653363296862526477e-01-5.852137465170386132e-01j), (1.817241766672468214e-02+7.607632304496733666e-02j), (-2.391198175042485996e-02+3.210456038477860208e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (5.331949719999999615e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.745915165813808123e-01-4.897915687033546628e-01j), (7.627686771696708112e-03+1.540302210596842525e-01j), (-2.357056063552970260e-02+2.575830834426578314e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (5.655098187878786209e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-3.124518902165085987e-01-3.250393624534749781e-01j), (5.013407727290424692e-02+3.554644590734725579e-02j), (-1.758023112290693288e-02-3.110184090725865835e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (5.978246655757572803e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.586712583067570792e-01-2.741637379853993917e-01j), (1.358839661400556773e-02+2.022242430525173634e-02j), (2.809591577521362155e-02+1.845534103310743704e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (6.301395123636362866e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.621541578678449058e-01-2.479431214570049502e-01j), (1.358839661400558681e-02+2.022242430525137205e-02j), (2.846593185130691372e-02+1.568719078995282207e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (6.624543591515149460e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.656370574289327324e-01-2.217225049286108973e-01j), (1.358839661400565793e-02+2.022242430525104939e-02j), (2.883594792740020590e-02+1.291904054679821924e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (6.947692059393939523e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.691199569900205590e-01-1.955018884002164836e-01j), (1.358839661400565967e-02+2.022242430525064347e-02j), (2.920596400349352584e-02+1.015089030364361121e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (7.270840527272726117e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.726028565511083301e-01-1.692812718718223475e-01j), (1.358839661400575508e-02+2.022242430525030693e-02j), (2.957598007958681108e-02+7.382740060489027464e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (7.593988995151512711e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.760857561121961012e-01-1.430606553434282391e-01j), (1.358839661400573773e-02+2.022242430524993223e-02j), (2.994599615568006856e-02+4.614589817334400351e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (7.917137463030302774e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.649087269249135734e-01-1.151996315923548148e-01j), (2.004176082243223911e-02+2.094516142653836746e-02j), (-2.663475927820989353e-02-4.552927632246264907e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (8.240285930909089368e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.694433303375423083e-01-8.887465553672266316e-02j), (2.004176082243224605e-02+2.094516142653835358e-02j), (-2.447886745445983225e-02-3.787234057295434456e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (8.563434398787875962e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.739779337501709322e-01-6.254967948109048381e-02j), (2.004176082243225299e-02+2.094516142653831889e-02j), (-2.232297563070978486e-02-3.021540482344606607e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (8.886582866666666025e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.785125371627996671e-01-3.622470342545807548e-02j), (2.004176082243227380e-02+2.094516142653833277e-02j), (-2.016708380695971664e-02-2.255846907393752737e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (9.209731334545452619e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.830471405754282910e-01-9.899727369825930823e-03j), (2.004176082243229462e-02+2.094516142653829807e-02j), (-1.801119198320964149e-02-1.490153332442916215e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (9.532879802424239213e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.875817439880570259e-01+1.642524868580622424e-02j), (2.004176082243228768e-02+2.094516142653831542e-02j), (-1.585530015945958021e-02-7.244597574920814270e-04j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (9.856028270303029276e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.866657685014928902e-01+3.441012296430079331e-02j), (2.358105657833209357e-02-2.720717022388782769e-03j), (-1.484870994282118384e-02+1.788418258854816006e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.017917673818181587e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.819879916950175369e-01+4.577675505581244031e-02j), (2.358105657833210744e-02-2.720717022388784503e-03j), (-1.423059038989371583e-02+2.982971695659497949e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.050232520606060246e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.773102148885422391e-01+5.714338714732409424e-02j), (2.358105657833211438e-02-2.720717022388789274e-03j), (-1.361247083696626170e-02+4.177525132464179891e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.082547367393939253e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.726324380820668858e-01+6.851001923883588696e-02j), (2.358105657833209703e-02-2.720717022388792310e-03j), (-1.299435128403876594e-02+5.372078569268877446e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.114862214181817912e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.486838158038934821e-01+8.524952854142310577e-02j), (1.384440394499708744e-02-5.429509181957190532e-03j), (-8.407154216036216710e-02-1.332833418992133458e-02j)
