# # Angle (deg), theta pol E-plane, phi pol E-plane, theta pol H-plane, phi pol H-plane
 (-1.800000000000000000e+02+0.000000000000000000e+00j), (-2.742198436091248994e-03+6.655244799861528403e-04j), (1.431590889204867907e-05+4.523474808282990389e-06j), (-1.431590889204894504e-05-4.523474808282772702e-06j), (-2.742198436091248994e-03+6.655244799861532740e-04j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.137763216006451757e-02+7.485178013202030065e-03j), (-1.134596961086546519e-05-6.122113729835295976e-05j), (-1.134596961086615637e-05-6.122113729835258029e-05j), (1.137763216006451757e-02-7.485178013202030065e-03j)
 (1.800000000000000000e+02+0.000000000000000000e+00j), (2.742198436091248127e-03-6.655244799861525151e-04j), (-1.431590889204837075e-05-4.523474808282854017e-06j), (1.431590889204851813e-05+4.523474808282942108e-06j), (2.742198436091248994e-03-6.655244799861527319e-04j)
