# # Angle (deg), theta pol E-plane, phi pol E-plane, theta pol H-plane, phi pol H-plane
 (-5.400000000000000000e+01+0.000000000000000000e+00j), (1.430144276315701082e-02+4.426294927020208748e-03j), (1.295404496773170939e-04-7.278729805455730546e-05j), (-6.479269143296303491e-05+4.608072949204279782e-06j), (-9.934630428161166094e-03-1.080217031454116508e-03j)
 (-5.200000000000000000e+01+0.000000000000000000e+00j), (1.430864759532291669e-02+6.030318334000647242e-03j), (1.329618854061535762e-04-6.467667483719619016e-05j), (-5.972836973120568179e-05-2.752972059543067675e-07j), (-9.970917870540009151e-03-2.609277341637042998e-03j)
 (-5.000000000000000000e+01+0.000000000000000000e+00j), (1.421978788306751083e-02+7.702142122630285630e-03j), (1.357637647054087582e-04-5.660110593825274722e-05j), (-5.458235742273583800e-05-4.144700567371551361e-06j), (-9.932139363622905642e-03-4.241439272738654204e-03j)
 (-4.800000000000000000e+01+0.000000000000000000e+00j), (1.403730001843232073e-02+9.433175715646955131e-03j), (1.379252178699550736e-04-4.863029022016384642e-05j), (-4.943811903489999580e-05-6.972276210447450267e-06j), (-9.820500907838862481e-03-5.967742306266863271e-03j)
 (-4.600000000000000000e+01+0.000000000000000000e+00j), (1.376467404824272336e-02+1.121418979166024892e-02j), (1.394308518369379946e-04-4.081995140095524773e-05j), (-4.437365977299683264e-05-8.756290102839881672e-06j), (-9.639082833087264310e-03-7.778087128468468003e-03j)
 (-4.400000000000000000e+01+0.000000000000000000e+00j), (1.340642594379756920e-02+1.303538025116061407e-02j), (1.402693529714341397e-04-3.321178881309761567e-05j), (-3.945894667144297165e-05-9.518399909988505860e-06j), (-9.391803286164360220e-03-9.661314521424902227e-03j)
 (-4.200000000000000000e+01+0.000000000000000000e+00j), (1.296805656603500050e-02+1.488643816126771283e-02j), (1.404322892904195951e-04-2.583406031603932367e-05j), (-3.475385975432448028e-05-9.300399341322694113e-06j), (-9.083370248563432323e-03-1.160529663300098428e-02j)
 (-4.000000000000000000e+01+0.000000000000000000e+00j), (1.245599762548370119e-02+1.675662486182195876e-02j), (1.399131812590721508e-04-1.870273528710999516e-05j), (-3.030676162356015253e-05-8.160687998568477206e-06j), (-8.719222636736001161e-03-1.359703992959565219e-02j)
 (-3.800000000000000000e+01+0.000000000000000000e+00j), (1.187754511791410013e-02+1.863485140980855603e-02j), (1.387068881628477344e-04-1.182313110002763708e-05j), (-2.615373420880261326e-05-6.170703044734090935e-06j), (-8.305461210672477820e-03-1.562279897457747799e-02j)
 (-3.600000000000000000e+01+0.000000000000000000e+00j), (1.124078088680405089e-02+2.050976156035505191e-02j), (1.368093331267808237e-04-5.191927219860514278e-06j), (-2.231849147060034014e-05-3.411523000268895130e-06j), (-7.848770181260105588e-03-1.766820001707308449e-02j)
