# # Angle (deg), theta pol E-plane, phi pol E-plane, theta pol H-plane, phi pol H-plane
 (-1.800000000000000000e+02+0.000000000000000000e+00j), (-2.205758021583788080e-03+1.068705404840669844e-02j), (1.077925093745239386e-04-2.105229897947436045e-04j), (-1.077925093745245620e-04+2.105229897947444176e-04j), (-2.205758021583790248e-03+1.068705404840670017e-02j)
 (-1.780000000000000000e+02+0.000000000000000000e+00j), (-2.279294526019287875e-03+1.068413606225378405e-02j), (9.971599943373472266e-05-2.599815738856473945e-04j), (-1.139493328633577838e-04+2.012781864863624510e-04j), (-2.252083553724156147e-03+1.062228181465989935e-02j)
 (-1.760000000000000000e+02+0.000000000000000000e+00j), (-2.404856829062810078e-03+1.067041778381232209e-02j), (9.171837547356672640e-05-3.073090210044101471e-04j), (-1.208616966453760774e-04+1.907531498337363416e-04j), (-2.236717155098295363e-03+1.049176156275769163e-02j)
 (-1.740000000000000000e+02+0.000000000000000000e+00j), (-2.580816212488213756e-03+1.064556011149988234e-02j), (8.391925296341740538e-05-3.520854470429515674e-04j), (-1.283547792550761952e-04+1.790412021968209547e-04j), (-2.159500686037399593e-03+1.029604597688502272e-02j)
 (-1.720000000000000000e+02+0.000000000000000000e+00j), (-2.805017322677386907e-03+1.060892424184859371e-02j), (7.643395477866139764e-05-3.939150001866248570e-04j), (-1.362402667291776276e-04+1.662412556281350296e-04j), (-2.020988761491451530e-03+1.003648441372834328e-02j)
 (-1.700000000000000000e+02+0.000000000000000000e+00j), (-3.074805821074169925e-03+1.055958483212166704e-02j), (6.937211233732486638e-05-4.324290332707525432e-04j), (-1.443191247142914775e-04+1.524581713224175254e-04j), (-1.822442056014301776e-03+9.715216454321592976e-03j)
 (-1.680000000000000000e+02+0.000000000000000000e+00j), (-3.387057553880310282e-03+1.049634910767816530e-02j), (6.283633729584740010e-05-4.672891578266775265e-04j), (-1.523846263058648465e-04+1.378033381127595600e-04j), (-1.565812588511104842e-03+9.335155681170199601e-03j)
 (-1.660000000000000000e+02+0.000000000000000000e+00j), (-3.738208898966058520e-03+1.041778169236763814e-02j), (5.692094875217003824e-05-4.981901577518678013e-04j), (-1.602256905510761787e-04+1.223954496680600265e-04j), (-1.253721199646308342e-03+8.899963905311451123e-03j)
 (-1.640000000000000000e+02+0.000000000000000000e+00j), (-4.124288066708280652e-03+1.032223491285035565e-02j), (5.171074936941408740e-05-5.248627286650409205e-04j), (-1.676305722820706017e-04+1.063614429248328042e-04j), (-8.894275199942675144e-04+8.414016180319743368e-03j)
 (-1.620000000000000000e+02+0.000000000000000000e+00j), (-4.540947241901269887e-03+1.020788428717912463e-02j), (4.727985411579944150e-05-5.470759982812279211e-04j), (-1.743909200527221485e-04+8.983753786751727652e-05j), (-4.767928120736122650e-04+7.882357037317704040e-03j)
 (-1.600000000000000000e+02+0.000000000000000000e+00j), (-4.983495551706990968e-03+1.007276884950336453e-02j), (4.369058587431185717e-05-5.646397743544643655e-04j), (-1.803061867133681328e-04+7.297029286190691332e-05j), (-2.023615387039313601e-05+7.310648456780611051e-03j)
